level,difficulty,prompt,answer,options
intermediate,hard,Qual personagem bíblico interpretou sonhos no Egito e se tornou governador?,José,Neemias|Daniel|José
intermediate,hard,Qual personagem interpretou sonhos na Babilônia e serviu em cortes estrangeiras?,Daniel,José|Daniel|Mordecai
intermediate,hard,Qual livro apresenta o sofrimento do justo em forma de diálogo poético?,Jó,Jó|Provérbios|Eclesiastes
intermediate,hard,Qual livro bíblico é atribuído em grande parte à tradição sapiencial de Salomão e reúne máximas de sabedoria?,Provérbios,Lamentações|Números|Provérbios
intermediate,hard,Qual livro reflete sobre a vaidade da vida debaixo do sol?,Eclesiastes,Eclesiastes|Cantares|Esdras
intermediate,hard,Qual gênero literário predomina em Cantares de Salomão?,poesia amorosa,poesia amorosa|código legal sacerdotal|narrativa de conquista
intermediate,hard,"Qual livro reúne cânticos, orações e lamentos usados na adoração de Israel?",Salmos,Salmos|Crônicas|Juízes
intermediate,hard,Qual salmo inicia com “O Senhor é o meu pastor”?,Salmo 23,Salmo 2|Salmo 119|Salmo 23
intermediate,hard,Qual salmo é conhecido por sua longa meditação sobre a Lei do Senhor?,Salmo 119,Salmo 51|Salmo 110|Salmo 119
intermediate,hard,Qual salmo messiânico é citado no Novo Testamento com a frase “Assenta-te à minha direita”?,Salmo 110,Salmo 46|Salmo 110|Salmo 8
intermediate,hard,Qual profeta é associado à expressão “servo sofredor” em textos como Isaías 53?,Isaías,Daniel|Isaías|Zacarias
intermediate,hard,Qual livro lamenta poeticamente a destruição de Jerusalém?,Lamentações,Sofonias|Lamentações|Obadias
intermediate,hard,Qual aliança está diretamente ligada ao Sinai e à formação de Israel como povo da Lei?,a aliança mosaica,a aliança com Noé|a aliança com Davi|a aliança mosaica
intermediate,hard,Qual carta paulina apresenta a metáfora da igreja como corpo de Cristo de modo desenvolvido em 1 Coríntios 12?,1 Coríntios,2 Tessalonicenses|1 Coríntios|Filemom
intermediate,hard,Qual carta paulina enfatiza a armadura de Deus?,Efésios,Colossenses|Gálatas|Efésios
intermediate,hard,"Qual carta contém o hino cristológico que afirma que Cristo esvaziou-se, assumindo forma de servo?",Filipenses,1 Timóteo|Romanos|Filipenses
intermediate,hard,Qual carta apresenta Cristo como imagem do Deus invisível e primogênito de toda a criação?,Colossenses,2 Coríntios|Tito|Colossenses
intermediate,hard,"Qual carta pastoral orienta sobre presbíteros, diáconos e cuidado da igreja em Éfeso?",1 Timóteo,1 Timóteo|2 Pedro|Gálatas
intermediate,hard,Qual carta pastoral foi enviada a um colaborador de Paulo deixado em Creta?,Tito,2 Timóteo|Filemom|Tito
intermediate,hard,"Qual carta é tradicionalmente vista como despedida pastoral de Paulo, com tom de legado e perseverança?",2 Timóteo,2 Timóteo|1 Coríntios|Romanos
intermediate,hard,Qual carta de Pedro fala dos cristãos como sacerdócio real e nação santa?,1 Pedro,Judas|2 Pedro|1 Pedro
intermediate,hard,Qual carta alerta que falsos mestres transformariam a liberdade em ocasião para erro e usa o exemplo dos anjos que pecaram?,2 Pedro,1 Tessalonicenses|2 Pedro|3 João
intermediate,hard,Qual escrito joanino enfatiza que quem nega que Jesus veio em carne manifesta espírito contrário a Cristo?,1 João,Apocalipse|3 João|1 João
intermediate,hard,Qual pequeno escrito do Novo Testamento elogia Gaio por sua hospitalidade aos irmãos?,3 João,3 João|2 João|Judas
intermediate,hard,Qual pequeno escrito alerta contra receber mestres que não permanecem na doutrina de Cristo?,2 João,2 João|Filemom|Tito
intermediate,hard,Qual livro apresenta o discurso de Paulo no Areópago?,Atos,Atos|Hebreus|Romanos
intermediate,hard,Em qual cidade Paulo pregou no Areópago?,Atenas,Éfeso|Atenas|Corinto
intermediate,hard,Qual cidade foi palco de tumulto envolvendo a deusa Ártemis e o ministério de Paulo?,Éfeso,Filipos|Éfeso|Antioquia
intermediate,hard,"Qual cidade é associada à prisão de Paulo e Silas, seguida por um terremoto e conversão do carcereiro?",Filipos,Derbe|Tessalônica|Filipos
intermediate,hard,Qual cidade era conhecida por sua imoralidade e por desafios comunitários abordados por Paulo em suas cartas?,Corinto,Corinto|Belém|Nazaré
intermediate,hard,Qual carta do Novo Testamento contém a expressão “a fé vem pelo ouvir”?,Romanos,Tiago|2 João|Romanos
intermediate,hard,Qual carta desenvolve extensamente a tensão entre carne e Espírito e o fruto do Espírito?,Gálatas,Filemom|Judas|Gálatas
intermediate,hard,"Qual carta fala dos dons ministeriais como apóstolos, profetas, evangelistas, pastores e mestres?",Efésios,Efésios|1 João|Hebreus
intermediate,hard,Qual doutrina afirma que Deus é um só ser em três pessoas distintas?,Trindade,arianismo|modalismo|Trindade
intermediate,hard,Qual alternativa descreve melhor a doutrina cristã histórica da Trindade?,"um só Deus em três pessoas distintas: Pai, Filho e Espírito Santo","três deuses unidos por uma mesma missão|um Deus que apenas aparece em três modos temporários|um só Deus em três pessoas distintas: Pai, Filho e Espírito Santo"
intermediate,hard,"Qual heresia entende Pai, Filho e Espírito como apenas modos ou manifestações sucessivas de Deus?",modalismo,pelagianismo|modalismo|nestorianismo
intermediate,hard,"Qual heresia negava a plena divindade do Filho, considerando-o criatura exaltada?",arianismo,monotelismo|donatismo|arianismo
intermediate,hard,Qual heresia foi associada à divisão excessiva entre as naturezas de Cristo?,nestorianismo,sabelianismo|nestorianismo|marcionismo
intermediate,hard,Qual heresia afirmava que Cristo teria apenas uma natureza após a encarnação?,monofisismo,pelagianismo|adocionismo|monofisismo
intermediate,hard,"Qual controvérsia cristológica tratou da vontade de Cristo, afirmando contra o erro que ele possui vontade divina e humana?",monotelismo,gnosticismo|donatismo|monotelismo
intermediate,hard,Qual heresia ensinava que Jesus apenas parecia ter corpo humano real?,docetismo,macedonianismo|arianismo|docetismo
intermediate,hard,Qual movimento antigo via a salvação principalmente como libertação por conhecimento secreto?,gnosticismo,gnosticismo|luteranismo|montanismo
intermediate,hard,Qual heresia minimizava a necessidade da graça ao enfatizar a capacidade humana de obedecer a Deus por si mesma?,pelagianismo,monofisismo|apolinarianismo|pelagianismo
intermediate,hard,Qual controvérsia tratou da validade dos sacramentos administrados por líderes moralmente falhos?,donatismo,arianismo|nestorianismo|donatismo
intermediate,hard,Qual heresia rejeitava o Antigo Testamento e opunha o Deus de Israel ao Deus revelado por Jesus?,marcionismo,monotelismo|marcionismo|pelagianismo
intermediate,hard,Qual heresia negava a plena divindade do Espírito Santo?,macedonianismo,macedonianismo|ebionismo|docetismo
intermediate,hard,Qual visão antiga via Jesus como homem adotado por Deus em algum momento de sua vida?,adocionismo,adocionismo|maniqueísmo|triteísmo
intermediate,hard,"Qual doutrina afirma que Cristo é uma pessoa com duas naturezas, divina e humana?",união hipostática,união hipostática|iluminação geral|transubstanciação
intermediate,hard,Qual expressão resume a compreensão cristã clássica de Cristo definida em Calcedônia?,verdadeiramente Deus e verdadeiramente homem,meio divino e meio humano|humano apenas na aparência|verdadeiramente Deus e verdadeiramente homem
intermediate,hard,Qual termo teológico designa o pecado herdado e a condição humana caída em Adão?,pecado original,união mística|pecado original|perfeição cristã
intermediate,hard,Qual doutrina trata da obra de Cristo em reconciliar pecadores com Deus?,expiação,providência|santificação|expiação
intermediate,hard,Qual termo descreve o processo de crescimento do cristão em conformidade com Cristo?,santificação,santificação|justificação|encarnação
intermediate,hard,Qual termo descreve o ato gracioso de Deus declarar justo o pecador unido a Cristo?,justificação,glorificação|revelação geral|justificação
intermediate,hard,Qual concílio é especialmente lembrado por condenar o arianismo e afirmar a divindade do Filho?,Niceia I,Niceia I|Trento|Latão IV
intermediate,hard,Em que ano ocorreu o Concílio de Niceia I?,325,451|325|1054
intermediate,hard,Qual imperador convocou o Concílio de Niceia I?,Constantino,Teodósio II|Carlos Magno|Constantino
intermediate,hard,Qual concílio reafirmou Niceia e tratou da divindade do Espírito Santo?,Constantinopla I,Éfeso|Vaticano I|Constantinopla I
intermediate,hard,Em que ano ocorreu o Concílio de Constantinopla I?,381,431|381|787
intermediate,hard,Qual concílio está associado à condenação do nestorianismo e à discussão sobre Maria como Theotokos?,Éfeso,Niceia II|Éfeso|Trento
intermediate,hard,Em que ano ocorreu o Concílio de Éfeso?,431,553|431|325
intermediate,hard,Qual título aplicado a Maria foi defendido em Éfeso para proteger a unidade da pessoa de Cristo?,Theotokos,Sola Scriptura|Theotokos|Imago Dei
intermediate,hard,"Qual concílio afirmou Cristo em duas naturezas, sem confusão, mudança, divisão ou separação?",Calcedônia,Jerusalém|Calcedônia|Vaticano II
intermediate,hard,Em que ano ocorreu o Concílio de Calcedônia?,451,381|451|1517
intermediate,hard,Qual concílio tratou da controvérsia iconoclasta e defendeu a veneração de ícones?,Niceia II,Niceia II|Constantinopla I|Niceia I
intermediate,hard,Em que ano ocorreu o Concílio de Niceia II?,787,325|787|431
intermediate,hard,Qual credo começa com a confissão “Creio em Deus Pai Todo-Poderoso” em sua forma tradicional?,Credo Apostólico,Credo Apostólico|Confissão de Westminster|Catecismo de Heidelberg
intermediate,hard,Qual credo é fruto do desenvolvimento ligado a Niceia e Constantinopla?,Credo Niceno-Constantinopolitano,Confissão de Augsburgo|Credo de Calcedônia|Credo Niceno-Constantinopolitano
intermediate,hard,Qual símbolo de fé é conhecido por sua formulação detalhada da doutrina trinitária e cristológica?,Credo Atanasiano,Confissão Belga|Credo Atanasiano|Catecismo de Dort
intermediate,hard,Qual pai da igreja ficou conhecido como grande defensor da divindade de Cristo contra os arianos?,Atanásio,Atanásio|Tertuliano|Jerônimo
intermediate,hard,Qual frase resume a postura atribuída a Atanásio diante da pressão ariana?,Atanásio contra o mundo,Atanásio contra o mundo|Somente a fé justifica|O mundo é minha paróquia
intermediate,hard,Qual teólogo antigo é frequentemente associado à expressão “Trindade” no vocabulário latino?,Tertuliano,Orígenes|Crisóstomo|Tertuliano
intermediate,hard,Qual pai da igreja traduziu a Bíblia para o latim na versão conhecida como Vulgata?,Jerônimo,Basílio|Jerônimo|Irineu
intermediate,hard,Qual pai da igreja escreveu Confissões e A Cidade de Deus?,Agostinho,Anselmo|Tomás de Aquino|Agostinho
intermediate,hard,Qual pai da igreja combateu o pelagianismo de forma decisiva?,Agostinho,Agostinho|Inácio de Antioquia|Justino Mártir
intermediate,hard,Qual pai apostólico escreveu cartas no caminho para o martírio e enfatizou a unidade da igreja?,Inácio de Antioquia,Gregório de Nissa|Cipriano de Cartago|Inácio de Antioquia
intermediate,hard,Qual pai apostólico é associado a uma carta aos coríntios no fim do primeiro século?,Clemente de Roma,Policarpo|Orígenes|Clemente de Roma
intermediate,hard,Qual discípulo de João foi bispo de Esmirna e mártir?,Policarpo,Policarpo|Hilário de Poitiers|Eusébio
intermediate,hard,Qual escritor cristão antigo é conhecido como “pai da história da igreja”?,Eusébio de Cesareia,João Cassiano|Agostinho|Eusébio de Cesareia
intermediate,hard,Qual apologista do segundo século escreveu uma Defesa do cristianismo dirigida ao imperador?,Justino Mártir,Justino Mártir|Anselmo|Bernardo de Claraval
intermediate,hard,Qual obra de Irineu combateu o gnosticismo?,Contra as Heresias,Institutas|Contra as Heresias|Suma Teológica
intermediate,hard,Qual escola antiga é frequentemente associada a uma interpretação mais alegórica das Escrituras?,Alexandria,Alexandria|Antioquia|Roma
intermediate,hard,Qual escola antiga é frequentemente associada a maior ênfase no sentido histórico e literal do texto?,Antioquia,Alexandria|Antioquia|Cartago
intermediate,hard,Qual teólogo de Alexandria ficou conhecido por sua erudição bíblica e método alegórico?,Orígenes,Leão Magno|Ambrósio|Orígenes
intermediate,hard,Qual bispo de Milão influenciou a conversão de Agostinho?,Ambrósio,Atanásio|Clemente de Alexandria|Ambrósio
intermediate,hard,Qual líder cristão é associado ao Édito de Milão por sua relação com Constantino e a tolerância ao cristianismo?,Constantino,Nero|Constantino|Diocleciano
intermediate,hard,Qual imperador é associado a uma forte perseguição aos cristãos no início do século IV?,Diocleciano,Diocleciano|Carlos Magno|Teodósio
intermediate,hard,Qual imperador tornou o cristianismo niceno religião oficial do Império Romano?,Teodósio I,Constantino|Teodósio I|Juliano
intermediate,hard,Qual evento de 1054 é conhecido como ruptura entre cristianismo oriental e ocidental?,Grande Cisma,Grande Cisma|Concílio de Trento|Reforma Protestante
intermediate,hard,Qual termo designa a controvérsia medieval sobre a cláusula “e do Filho” no credo?,Filioque,Theotokos|Sola fide|Filioque
intermediate,hard,Qual tradição cristã oriental rejeitou a formulação de Calcedônia?,igrejas ortodoxas orientais,igrejas ortodoxas orientais|igrejas luteranas|igrejas reformadas
intermediate,hard,Qual líder monástico é associado à Regra que influenciou profundamente o monasticismo ocidental?,Bento de Núrsia,Jonathan Edwards|Bento de Núrsia|Francisco Xavier
intermediate,hard,Qual movimento monástico surgiu no deserto do Egito com figuras como Antão?,monasticismo do deserto,pietismo|puritanismo|monasticismo do deserto
intermediate,hard,Qual papa é conhecido por enviar Agostinho de Cantuária em missão aos anglo-saxões?,Gregório Magno,Inocêncio III|Gregório Magno|Leão X
intermediate,hard,Qual bispo de Roma escreveu o Tomo que influenciou Calcedônia?,Leão Magno,Urbano II|Gregório VII|Leão Magno
intermediate,hard,Qual concílio medieval está associado à definição formal da transubstanciação no Ocidente?,Latão IV,Dort|Niceia I|Latão IV
intermediate,hard,Qual concílio foi convocado como resposta católica à Reforma Protestante?,Trento,Éfeso|Vaticano II|Trento
intermediate,hard,Qual concílio do século XX tratou de renovação pastoral e relação da Igreja Católica com o mundo moderno?,Vaticano II,Vaticano II|Vaticano I|Calcedônia
intermediate,hard,Qual termo se refere à destruição ou rejeição de imagens religiosas?,iconoclasmo,monasticismo|iconoclasmo|escolasticismo
intermediate,hard,Qual movimento antigo enfatizou novas profecias rigorosas e foi associado a Montano?,montanismo,arianismo|donatismo|montanismo
intermediate,hard,Qual pai capadócio é conhecido por defender a divindade do Espírito Santo?,Basílio de Cesareia,Pelágio|Basílio de Cesareia|Marcião
intermediate,hard,Quais três teólogos são conhecidos como os capadócios?,"Basílio, Gregório de Nazianzo e Gregório de Nissa","Agostinho, Jerônimo e Ambrósio|Basílio, Gregório de Nazianzo e Gregório de Nissa|Lutero, Calvino e Zuínglio"
intermediate,hard,Qual teólogo recebeu o título de “Boca de Ouro” por sua pregação?,João Crisóstomo,Cipriano|João Crisóstomo|Atanásio
intermediate,hard,Qual líder cristão escreveu sobre a unidade da igreja e atuou em Cartago durante controvérsias sobre lapsos?,Cipriano,Wycliffe|Cipriano|Anselmo
intermediate,hard,Qual grupo era chamado de “lapsi” na igreja antiga?,cristãos que negaram a fé sob perseguição e depois quiseram retornar,bispos que participaram do Concílio de Niceia|monges que viviam no deserto sem comunidade|cristãos que negaram a fé sob perseguição e depois quiseram retornar
intermediate,hard,Qual perseguição é associada ao imperador Nero após o incêndio de Roma?,a perseguição aos cristãos em Roma no século I,a condenação de Lutero em Worms|a perseguição aos cristãos em Roma no século I|a cruzada contra os albigenses
intermediate,hard,Qual documento de 313 concedeu tolerância legal ao cristianismo no Império Romano?,Édito de Milão,Édito de Nantes|Édito de Milão|Confissão de Augsburgo
intermediate,hard,Qual cidade foi fundada como nova capital imperial e depois tornou-se centro do cristianismo oriental?,Constantinopla,Alexandria|Constantinopla|Cartago
intermediate,hard,Qual termo descreve a reunião oficial de bispos para resolver questões doutrinárias ou disciplinares?,concílio,sínese|concílio|midrash
intermediate,hard,Qual teólogo medieval é conhecido pelo argumento ontológico da existência de Deus?,Anselmo de Cantuária,Anselmo de Cantuária|Ulrich Zuínglio|Tomás Cranmer
intermediate,hard,Qual teólogo medieval escreveu a Suma Teológica?,Tomás de Aquino,Martinho Lutero|Tomás de Aquino|Karl Barth
